flavors,5/2/2024,9/1/2024,9/9/24,9/16/24,9/25/24,9/30/24,10/7/24,10/15/24,10/21/24,10/28/24,11/5/24,11/12/24,11/18/24,12/2/24,1/20/25,1/26/2025,2/3/25
VANILLA,0,0,0,0,0,2,0,0,0,4,3,1,0,1,0,4,2
CARAMEL,2,3,3,3,2,1,0,2,2,2,1,0,0,0,1,1,3
HAZELNUT,3,4,4,3,3,2,2,1,1,1,1,0,0,2,2,4,4
PURE CANE,2,2,2,1,1,0,0,0,0,1,1,1,0,0,0,1,1
CHAI TEA,6,5,5,4,4,2,0,0,0,2,1,0,0,0,1,5,4
SF VANILLA,2,1,0,2,1,0,0,2,2,1,1,0,0,1,1,0,4
SF CARAMEL,2,1,1,2,2,1,1,0,0,3,3,2,2,2,2,2,2
SF HAZELNUT,0,0,0,-,-,,,,,,,,,,0,0,0
TOASTED MARSHMELLOW,0,1,0,-,-,0,0,0,0,0,,,,,0,0,1
PEPPERMINT,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1
LAVENDER,0,0,0,0,2,1,1,1,1,1,0,0,0,1,1,1,0
ROSE,0,2,2,1,1,1,1,1,1,1,1,0,0,,0,0,1
PUMPKIN SPICE,2,1,2,1,1,0,0,1,1,0,0,0,0,1,1,1,1
CINNAMON,0,1,1,2,2,1,0,0,0,1,1,0,0,2,2,2,1
IRISH CREAM,4,5,5,5,5,-,,,4,4,4,3,3,3,3,3,3
EGGNOG,,1,1,1,1,-,,,,,0,0,,,0,0,0
MAPLE,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CARDAMOM,,,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0
SUGAR COOKIE,,,,,,,,,,,,,0,0,,0,0
BROWN SUGAR,,,,,,,,,,,,,0,0,0,0,0
